case,method,metric,seed,value
"Barabási–Albert
(128 nodes)",TELGEN,p95_completion_latency_ps,43117,17.5000002
"Barabási–Albert
(128 nodes)",TELGEN,p95_completion_latency_ps,43118,18.5000002
"Barabási–Albert
(128 nodes)",TELGEN,p95_completion_latency_ps,43119,18.6000002
"Waxman
(192 nodes)",Q-PASS,p95_completion_latency_ps,43000,22.6000002
"Waxman
(192 nodes)",Q-PASS,p95_completion_latency_ps,43001,19.3
"Waxman
(192 nodes)",Q-PASS,p95_completion_latency_ps,43002,19.6000002
"Waxman
(192 nodes)",Q-PASS,p95_completion_latency_ps,43003,22.6000002
"Waxman
(192 nodes)",Q-PASS,p95_completion_latency_ps,43004,23.6000002
"Waxman
(192 nodes)",Q-PASS,p95_completion_latency_ps,43005,21.3
"Waxman
(192 nodes)",Q-PASS,p95_completion_latency_ps,43006,19.6000002
"Waxman
(192 nodes)",Q-PASS,p95_completion_latency_ps,43007,19.6000002
"Waxman
(192 nodes)",Q-PASS,p95_completion_latency_ps,43008,19.6000002
"Waxman
(192 nodes)",Q-PASS,p95_completion_latency_ps,43009,19.6000002
"Waxman
(192 nodes)",Q-PASS,p95_completion_latency_ps,43010,18.6000002
"Waxman
(192 nodes)",Q-PASS,p95_completion_latency_ps,43011,22.2
"Waxman
(192 nodes)",Q-PASS,p95_completion_latency_ps,43012,22.3
"Waxman
(192 nodes)",Q-PASS,p95_completion_latency_ps,43013,19.3
"Waxman
(192 nodes)",Q-PASS,p95_completion_latency_ps,43014,14.6000002
"Waxman
(192 nodes)",Q-PASS,p95_completion_latency_ps,43015,19.6000002
"Waxman
(192 nodes)",Q-PASS,p95_completion_latency_ps,43016,22.3
"Waxman
(192 nodes)",Q-PASS,p95_completion_latency_ps,43017,23.6000002
"Waxman
(192 nodes)",Q-PASS,p95_completion_latency_ps,43018,19.6000002
"Waxman
(192 nodes)",Q-PASS,p95_completion_latency_ps,43019,20.6000002
"Barabási–Albert
(128 nodes)",Q-PASS,p95_completion_latency_ps,43100,18.3
"Barabási–Albert
(128 nodes)",Q-PASS,p95_completion_latency_ps,43101,18.6000002
"Barabási–Albert
(128 nodes)",Q-PASS,p95_completion_latency_ps,43102,16.5000002
"Barabási–Albert
(128 nodes)",Q-PASS,p95_completion_latency_ps,43103,19.3
"Barabási–Albert
(128 nodes)",Q-PASS,p95_completion_latency_ps,43104,18.6000002
"Barabási–Albert
(128 nodes)",Q-PASS,p95_completion_latency_ps,43105,18.5000002
"Barabási–Albert
(128 nodes)",Q-PASS,p95_completion_latency_ps,43106,18.5000002
"Barabási–Albert
(128 nodes)",Q-PASS,p95_completion_latency_ps,43107,17.3
"Barabási–Albert
(128 nodes)",Q-PASS,p95_completion_latency_ps,43108,18.6000002
"Barabási–Albert
(128 nodes)",Q-PASS,p95_completion_latency_ps,43109,15.6000002
"Barabási–Albert
(128 nodes)",Q-PASS,p95_completion_latency_ps,43110,19.3
"Barabási–Albert
(128 nodes)",Q-PASS,p95_completion_latency_ps,43111,16.6000002
"Barabási–Albert
(128 nodes)",Q-PASS,p95_completion_latency_ps,43112,18.5000002
"Barabási–Albert
(128 nodes)",Q-PASS,p95_completion_latency_ps,43113,19.3
"Barabási–Albert
(128 nodes)",Q-PASS,p95_completion_latency_ps,43114,15.6000002
"Barabási–Albert
(128 nodes)",Q-PASS,p95_completion_latency_ps,43115,18.6000002
"Barabási–Albert
(128 nodes)",Q-PASS,p95_completion_latency_ps,43116,18.3
"Barabási–Albert
(128 nodes)",Q-PASS,p95_completion_latency_ps,43117,17.6000002
"Barabási–Albert
(128 nodes)",Q-PASS,p95_completion_latency_ps,43118,18.6000002
"Barabási–Albert
(128 nodes)",Q-PASS,p95_completion_latency_ps,43119,18.2
"Waxman
(192 nodes)",Greedy,p95_completion_latency_ps,43000,22.6000002
"Waxman
(192 nodes)",Greedy,p95_completion_latency_ps,43001,23.3
"Waxman
(192 nodes)",Greedy,p95_completion_latency_ps,43002,22.3
"Waxman
(192 nodes)",Greedy,p95_completion_latency_ps,43003,18.6000002
"Waxman
(192 nodes)",Greedy,p95_completion_latency_ps,43004,19.3
"Waxman
(192 nodes)",Greedy,p95_completion_latency_ps,43005,18.2
"Waxman
(192 nodes)",Greedy,p95_completion_latency_ps,43006,19.6000002
"Waxman
(192 nodes)",Greedy,p95_completion_latency_ps,43007,22.3
"Waxman
(192 nodes)",Greedy,p95_completion_latency_ps,43008,23.3
"Waxman
(192 nodes)",Greedy,p95_completion_latency_ps,43009,18.5000002
"Waxman
(192 nodes)",Greedy,p95_completion_latency_ps,43010,19.3
